Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Discovery method,Disc. Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks,distance (clean),mass (clean),radius (clean),star mass (clean),star temp (clean),Distance_Radius_Interaction,star_mass_bin
14 Herculis b,4.66,0.213,1773.4,2.93,radial vel.,2002,58.5,0.9,5338,[3] Another suspected planet confirmed in 2021.[4],58.5,4.66,0.213,0.9,5338,12.4605,"(-0.00354, 5.905]"
18 Delphini b,10.3,0.213,993.3,2.6,radial vel.,2008,249.1,2.3,4979,Proper name Arion,249.1,10.3,0.213,2.3,4979,53.0583,"(-0.00354, 5.905]"
23 Librae c,0.82,0.213,5000,5.8,radial vel.,2009,85.5,1.1,5736,,85.5,0.82,0.213,1.1,5736,18.2115,"(-0.00354, 5.905]"
30 Arietis Bb,13.82,0.213,335.1,0.99,radial vel.,2009,145.8,1.93,6331,,145.8,13.82,0.213,1.93,6331,31.0554,"(-0.00354, 5.905]"
41 Lyncis b,2.7,0.213,184.02,0.81,radial vel.,2007,280.2,2.1,4753,Proper name Arkas,280.2,2.7,0.213,2.1,4753,59.6826,"(-0.00354, 5.905]"
42 Draconis b,3.88,0.213,479.1,1.19,radial vel.,2008,296.4,0.98,4200,Proper name Orbitar,296.4,3.88,0.213,0.98,4200,63.1332,"(-0.00354, 5.905]"
47 Ursae Majoris c,0.54,0.213,2391,3.6,radial vel.,2001,45,1.03,5892,Proper name Taphao Kaew,45,0.54,0.213,1.03,5892,9.585,"(-0.00354, 5.905]"
47 Ursae Majoris d,1.64,0.213,14002,11.6,radial vel.,2009,45,1.03,5892,,45,1.64,0.213,1.03,5892,9.585,"(-0.00354, 5.905]"
54 Piscium b,0.228,0.213,62.25,0.295,radial vel.,2003,36.3,0.8,5221,,36.3,0.228,0.213,0.8,5221,7.7319,"(-0.00354, 5.905]"
55 Cancri c,0.1714,0.213,44.42,0.241376,radial vel.,2004,41.1,0.91,5196,Proper name Brahe,41.1,0.1714,0.213,0.91,5196,8.7543,"(-0.00354, 5.905]"
55 Cancri d,3.878,0.213,4825,5.503,radial vel.,2002,41.1,0.91,5196,Proper name Lipperhey,41.1,3.878,0.213,0.91,5196,8.7543,"(-0.00354, 5.905]"
55 Cancri e,0.02542,0.17,0.74,0.01544,radial vel.,2004,41.1,0.91,5196,Proper name Janssen,41.1,0.02542,0.17,0.91,5196,6.987,"(-0.00354, 5.905]"
55 Cancri f,0.141,0.213,262,0.788,radial vel.,2007,41.1,0.91,5196,Proper name Harriot,41.1,0.141,0.213,0.91,5196,8.7543,"(-0.00354, 5.905]"
61 Virginis b,0.016,0.213,4.22,0.050201,radial vel.,2009,27.8,0.94,5577,,27.8,0.016,0.213,0.94,5577,5.9214,"(-0.00354, 5.905]"
61 Virginis c,0.057,0.213,38.02,0.2175,radial vel.,2009,27.8,0.94,5577,,27.8,0.057,0.213,0.94,5577,5.9214,"(-0.00354, 5.905]"
61 Virginis d,0.072,0.213,123.01,0.476,radial vel.,2009,27.8,0.94,5577,,27.8,0.072,0.213,0.94,5577,5.9214,"(-0.00354, 5.905]"
79 Ceti b,0.26,0.213,75.52,0.36,radial vel.,2000,123.4,1.11,5757,,123.4,0.26,0.213,1.11,5757,26.2842,"(-0.00354, 5.905]"
81 Ceti b,5.3,0.213,952.7,2.5,radial vel.,2008,331.2,2.4,4785,,331.2,5.3,0.213,2.4,4785,70.5456,"(-0.00354, 5.905]"
83 Leonis Bb,0.07,0.213,17.04,0.12,radial vel.,2004,59.4,0.48,4815,,59.4,0.07,0.213,0.48,4815,12.6522,"(-0.00354, 5.905]"
91 Aquarii b,3.2,0.213,181.4,0.7,radial vel.,2003,148.5,1.4,4665,[5],148.5,3.2,0.213,1.4,4665,31.6305,"(-0.00354, 5.905]"
94 Ceti b,1.37,0.213,466.2,1.305,radial vel.,2003,73.5,1.36,6188,,73.5,1.37,0.213,1.36,6188,15.6555,"(-0.00354, 5.905]"
BD+14 4559 b,1.04,0.213,268.94,0.78,radial vel.,2009,161.2,0.49,4864,Proper name Pirx,161.2,1.04,0.213,0.49,4864,34.3356,"(-0.00354, 5.905]"
BD+20 2457 b,55.59,0.213,379.63,1.05,radial vel.,2009,5450,10.83,4259,,5450,55.59,0.213,10.83,4259,1160.85,"(5.905, 11.79]"
BD+20 2457 c,12.47,0.213,621.99,2.01,radial vel.,2009,5450,10.83,4259,,5450,12.47,0.213,10.83,4259,1160.85,"(5.905, 11.79]"
BD-08 2823 b,0.04,0.213,5.6,0.06,radial vel.,2009,135,0.5,4816,,135,0.04,0.213,0.5,4816,28.755,"(-0.00354, 5.905]"
BD-08 2823 c,0.33,0.213,237.6,0.68,radial vel.,2009,135,0.5,4816,,135,0.33,0.213,0.5,4816,28.755,"(-0.00354, 5.905]"
BD-10 3166 b,0.59,0.213,3.49,0.04,radial vel.,2000,276,1.47,5393,,276,0.59,0.213,1.47,5393,58.788,"(-0.00354, 5.905]"
