Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Discovery method,Disc. Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks,distance (clean),mass (clean),radius (clean),star mass (clean),star temp (clean),Distance_Radius_Interaction,star_mass_bin
Kepler-65c,0.639,0.23,5.86,0.068,transit,Not Specified,999,1.25,6211,[31],999,0.639,0.23,1.25,6211,229.77,"(-0.00354, 5.905]"
Kepler-65d,0.639,0.136,8.13,0.084,transit,Not Specified,999,1.25,6211,[31],999,0.639,0.136,1.25,6211,135.864,"(-0.00354, 5.905]"
Kepler-66b,0.639,0.25,17.82,0.1352,transit,Not Specified,3610,1.04,5962,Belongs to open cluster NGC 6811[32],3610,0.639,0.25,1.04,5962,902.5,"(-0.00354, 5.905]"
Kepler-67b,0.639,0.262,15.73,0.1171,transit,Not Specified,3610,0.86,5331,Belongs to open cluster NGC 6811[32],3610,0.639,0.262,0.86,5331,945.82,"(-0.00354, 5.905]"
Kepler-68b,0.01878,0.208,5.4,0.098,transit,Not Specified,440,1.08,5793,[33],440,0.01878,0.208,1.08,5793,91.52,"(-0.00354, 5.905]"
Kepler-68c,0.02265,0.089,9.61,0.098,transit,Not Specified,440,1.08,5793,[33],440,0.02265,0.089,1.08,5793,39.16,"(-0.00354, 5.905]"
Kepler-68d,0.84007,0.213,625,0.098,radial vel.,Not Specified,440,1.08,5793,[33],440,0.84007,0.213,1.08,5793,93.72,"(-0.00354, 5.905]"
Kepler-69b,0.639,0.2,13.72,0.094,transit,Not Specified,2430,0.81,5638,[34],2430,0.639,0.2,0.81,5638,486,"(-0.00354, 5.905]"
Kepler-69c,0.639,0.153,242.46,0.64,transit,Not Specified,2430,0.81,5638,[34][35],2430,0.639,0.153,0.81,5638,371.79,"(-0.00354, 5.905]"
Kepler-74b [es],0.63,0.96,7.34,0.0781,transit,Not Specified,4300,1.18,6000,[36],4300,0.63,0.96,1.18,6000,4128,"(-0.00354, 5.905]"
Kepler-75b [es],10.1,1.05,8.88,0.0818,transit,Not Specified,3700,0.91,5200,[36],3700,10.1,1.05,0.91,5200,3885,"(-0.00354, 5.905]"
Kepler-76b,2.01,1.36,1.54,0.0274,orbital brightness modulation,Not Specified,2750,1.2,6409,[37],2750,2.01,1.36,1.2,6409,3740,"(-0.00354, 5.905]"
Kepler-77b [es],0.43,0.96,3.58,0.04501,transit,Not Specified,1900,0.95,5520,[38],1900,0.43,0.96,0.95,5520,1824,"(-0.00354, 5.905]"
Kepler-78b,0.006,0.105,0.36,0.098,transit,Not Specified,407.1,0.76,5058,[39],407.1,0.006,0.105,0.76,5058,42.7455,"(-0.00354, 5.905]"
Kepler-87b,1.02,1.204,114.74,0.481,transit,Not Specified,4170,1.1,5600,Two more unconfirmed planets in the system[40],4170,1.02,1.204,1.1,5600,5020.68,"(-0.00354, 5.905]"
Kepler-87c,0.02,0.548,191.23,0.676,transit,Not Specified,4170,1.1,5600,Two more unconfirmed planets in the system[40],4170,0.02,0.548,1.1,5600,2285.16,"(-0.00354, 5.905]"
Kepler-88b,0.027,0.337,10.95,0.098,transit,Not Specified,1110,0.96,5471,[41],1110,0.027,0.337,0.96,5471,374.07,"(-0.00354, 5.905]"
Kepler-88c,0.626,0.213,22.34,0.15525,timing,Not Specified,1110,0.96,5471,[41][42],1110,0.626,0.213,0.96,5471,236.43,"(-0.00354, 5.905]"
Kepler-89b,0.033,0.153,3.74,0.05119,transit,Not Specified,1577,1.28,6182,[43],1577,0.033,0.153,1.28,6182,241.281,"(-0.00354, 5.905]"
Kepler-89c,0.049,0.385,10.42,0.1013,transit,Not Specified,1577,1.28,6182,[43],1577,0.049,0.385,1.28,6182,607.145,"(-0.00354, 5.905]"
Kepler-89d,0.334,1.005,22.34,0.1684,transit,Not Specified,1577,1.28,6182,[43],1577,0.334,1.005,1.28,6182,1584.885,"(-0.00354, 5.905]"
Kepler-89e,0.11,0.585,54.32,0.3046,transit,Not Specified,1577,1.28,6182,[43],1577,0.11,0.585,1.28,6182,922.545,"(-0.00354, 5.905]"
Kepler-90b,0.639,0.117,7.01,0.074,transit,Not Specified,2500,1.2,6080,[44],2500,0.639,0.117,1.2,6080,292.5,"(-0.00354, 5.905]"
Kepler-90c,0.639,0.106,8.72,0.089,transit,Not Specified,2500,1.2,6080,[44],2500,0.639,0.106,1.2,6080,265,"(-0.00354, 5.905]"
Kepler-90d,0.639,0.256,59.74,0.32,transit,Not Specified,2500,1.2,6080,[44],2500,0.639,0.256,1.2,6080,640,"(-0.00354, 5.905]"
Kepler-90e,0.639,0.237,91.94,0.42,transit,Not Specified,2500,1.2,6080,[44],2500,0.639,0.237,1.2,6080,592.5,"(-0.00354, 5.905]"
Kepler-90f,0.639,0.257,124.91,0.48,transit,Not Specified,2500,1.2,6080,[44],2500,0.639,0.257,1.2,6080,642.5,"(-0.00354, 5.905]"
Kepler-90g,0.639,0.723,210.61,0.71,transit,Not Specified,2500,1.2,6080,[44],2500,0.639,0.723,1.2,6080,1807.5,"(-0.00354, 5.905]"
Kepler-90h,0.639,1.008,331.6,1.01,transit,Not Specified,2500,1.2,6080,[44],2500,0.639,1.008,1.2,6080,2520,"(-0.00354, 5.905]"
Kepler-91b,0.81,1.367,6.25,0.0731,transit,Not Specified,3400,1.31,4550,[45],3400,0.81,1.367,1.31,4550,4647.8,"(-0.00354, 5.905]"
Kepler-92b,0.202,0.313,13.75,0.098,transit,Not Specified,1580,1.21,5883,[46],1580,0.202,0.313,1.21,5883,494.54,"(-0.00354, 5.905]"
Kepler-92c,0.019,0.232,26.72,0.098,transit,Not Specified,1580,1.21,5883,[46],1580,0.019,0.232,1.21,5883,366.56,"(-0.00354, 5.905]"
Kepler-102e,0.028,0.198,16.15,0.098,transit,Not Specified,352.7,0.81,4909,[47],352.7,0.028,0.198,0.81,4909,69.8346,"(-0.00354, 5.905]"
Kepler-105b,0.639,0.429,5.41,0.066,transit,Not Specified,1517,0.96,5827,[47],1517,0.639,0.429,0.96,5827,650.793,"(-0.00354, 5.905]"
Kepler-114c,0.009,0.143,8.04,0.098,transit,Not Specified,852,0.56,4605,[46],852,0.009,0.143,0.56,4605,121.836,"(-0.00354, 5.905]"
Kepler-114d,0.012,0.226,11.78,0.098,transit,Not Specified,852,0.56,4605,[46],852,0.012,0.226,0.56,4605,192.552,"(-0.00354, 5.905]"
Kepler-128b,0.097,0.101,15.09,0.098,transit,Not Specified,1307,1.18,6090,[46],1307,0.097,0.101,1.18,6090,132.007,"(-0.00354, 5.905]"
Kepler-128c,0.105,0.101,22.8,0.098,transit,Not Specified,1307,1.18,6090,[46],1307,0.105,0.101,1.18,6090,132.007,"(-0.00354, 5.905]"
Kepler-130b,0.639,0.091,8.46,0.079,transit,Not Specified,1042,1,5884,[47],1042,0.639,0.091,1,5884,94.822,"(-0.00354, 5.905]"
Kepler-145b,0.117,0.236,22.95,0.098,transit,Not Specified,1880,1.32,6022,[46],1880,0.117,0.236,1.32,6022,443.68,"(-0.00354, 5.905]"
Kepler-145c,0.25,0.385,42.88,0.098,transit,Not Specified,1880,1.32,6022,[46],1880,0.25,0.385,1.32,6022,723.8,"(-0.00354, 5.905]"
Kepler-177b,0.006,0.259,36.85,0.098,transit,Not Specified,4880,1.07,5942,[46],4880,0.006,0.259,1.07,5942,1263.92,"(-0.00354, 5.905]"
Kepler-177c,0.024,0.633,49.41,0.098,transit,Not Specified,4880,1.07,5942,[46],4880,0.024,0.633,1.07,5942,3089.04,"(-0.00354, 5.905]"
Kepler-238e,0.534,0.5,23.65,0.098,transit,Not Specified,6200,1.06,5751,[46],6200,0.534,0.5,1.06,5751,3100,"(-0.00354, 5.905]"
Kepler-238f,0.042,0.178,50.45,0.098,transit,Not Specified,6200,1.06,5751,[46],6200,0.042,0.178,1.06,5751,1103.6,"(-0.00354, 5.905]"
Kepler-276c,0.052,0.259,31.88,0.098,transit,Not Specified,3850,1.1,6105,[46],3850,0.052,0.259,1.1,6105,997.15,"(-0.00354, 5.905]"
Kepler-276d,0.051,0.25,48.65,0.098,transit,Not Specified,3850,1.1,6105,[46],3850,0.051,0.25,1.1,6105,962.5,"(-0.00354, 5.905]"
Kepler-277b,0.275,0.261,17.32,0.098,transit,Not Specified,3280,1.12,5946,[46],3280,0.275,0.261,1.12,5946,856.08,"(-0.00354, 5.905]"
Kepler-277c,0.202,0.3,33.01,0.098,transit,Not Specified,3280,1.12,5946,[46],3280,0.202,0.3,1.12,5946,984,"(-0.00354, 5.905]"
Kepler-279b,0.639,0.323,12.31,0.112,transit,Not Specified,3480,1.1,6363,KOI-1236.01[48],3480,0.639,0.323,1.1,6363,1124.04,"(-0.00354, 5.905]"
Kepler-279c,0.155,0.384,35.74,0.098,transit,Not Specified,3490,1.1,6363,KOI-1236.02[48][46],3490,0.155,0.384,1.1,6363,1340.16,"(-0.00354, 5.905]"
Kepler-279d,0.118,0.277,54.41,0.098,transit,Not Specified,3490,1.1,6363,[46],3490,0.118,0.277,1.1,6363,966.73,"(-0.00354, 5.905]"
Kepler-282d,0.192,0.219,24.81,0.098,transit,Not Specified,4540,0.97,5602,[46],4540,0.192,0.219,0.97,5602,994.26,"(-0.00354, 5.905]"
Kepler-282e,0.177,0.277,44.35,0.098,transit,Not Specified,4540,0.97,5602,[46],4540,0.177,0.277,0.97,5602,1257.58,"(-0.00354, 5.905]"
Kepler-305b,0.033,0.321,5.49,0.098,transit,Not Specified,2900,0.76,5100,[46]KOI-1563.01[48],2900,0.033,0.321,0.76,5100,930.9,"(-0.00354, 5.905]"
Kepler-305c,0.019,0.294,8.29,0.098,transit,Not Specified,2900,0.76,5100,[46]KOI-1563.02[48],2900,0.019,0.294,0.76,5100,852.6,"(-0.00354, 5.905]"
Kepler-307b,0.02341,0.217,10.42,0.098,transit,Not Specified,1908,0.91,5367,[46],1908,0.02341,0.217,0.91,5367,414.036,"(-0.00354, 5.905]"
Kepler-307c,0.01145,0.196,13.07,0.098,transit,Not Specified,1908,0.91,5367,[46],1908,0.01145,0.196,0.91,5367,373.968,"(-0.00354, 5.905]"
Kepler-328b,0.09,0.205,34.92,0.098,transit,Not Specified,7700,1.15,5914,[46],7700,0.09,0.205,1.15,5914,1578.5,"(-0.00354, 5.905]"
Kepler-328c,0.124,0.482,71.31,0.098,transit,Not Specified,7700,1.15,5914,[46],7700,0.124,0.482,1.15,5914,3711.4,"(-0.00354, 5.905]"
Kepler-350c,0.019,0.277,17.85,0.098,transit,Not Specified,3210,1,6186,[46],3210,0.019,0.277,1,6186,889.17,"(-0.00354, 5.905]"
Kepler-350d,0.047,0.25,26.14,0.098,transit,Not Specified,3210,1,6186,[46],3210,0.047,0.25,1,6186,802.5,"(-0.00354, 5.905]"
Kepler-396b,0.238,0.312,42.99,0.098,transit,Not Specified,734,0.85,5384,[46]KOI-2672.01[48],734,0.238,0.312,0.85,5384,229.008,"(-0.00354, 5.905]"
Kepler-396c,0.056,0.473,88.5,0.098,transit,Not Specified,734,0.85,5384,[46]KOI-2672.02[48],734,0.056,0.473,0.85,5384,347.182,"(-0.00354, 5.905]"
Kepler-410Ab,0.639,0.253,17.83,0.1226,transit,Not Specified,430,1.21,6273,[49],430,0.639,0.253,1.21,6273,108.79,"(-0.00354, 5.905]"
Kepler-411b,0.639,0.168,3.01,0.038,transit,Not Specified,503.5,0.83,4974,[47],503.5,0.639,0.168,0.83,4974,84.588,"(-0.00354, 5.905]"
Kepler-1359c,0.639,0.3711,505.46,1.143,transit,Not Specified,2182,0.78,4709,"[44]Also called KIC 6436029 c, discovery retracted in 2015 after 3rd transit was proven to be false.[50]",2182,0.639,0.3711,0.78,4709,809.7402,"(-0.00354, 5.905]"
Omega Serpentis b,1.7,0.213,277.02,1.1,radial vel.,Not Specified,263,2.17,4770,[15],263,1.7,0.213,2.17,4770,56.019,"(-0.00354, 5.905]"
PH2b,0.639,0.903,282.53,0.828,transit,Not Specified,1130,0.94,5629,[59]Also called Kepler-86b,1130,0.639,0.903,0.94,5629,1020.39,"(-0.00354, 5.905]"
POTS-1b,2.31,0.941,3.16,0.03734,transit,Not Specified,3900,0.69,4400,[60],3900,2.31,0.941,0.69,4400,3669.9,"(-0.00354, 5.905]"
WASP-8c,9.45,0.213,4323,5.28,radial vel.,Not Specified,280,1.03,5600,[63],280,9.45,0.213,1.03,5600,59.64,"(-0.00354, 5.905]"
WASP-65b,1.55,1.112,2.31,0.0334,transit,Not Specified,1000,0.93,5600,[64],1000,1.55,1.112,0.93,5600,1112,"(-0.00354, 5.905]"
WASP-68b,0.95,1.24,5.08,0.06206,transit,Not Specified,962,1.24,5911,[65],962,0.95,1.24,1.24,5911,1192.88,"(-0.00354, 5.905]"
WASP-69b,0.26,1.057,3.87,0.04525,transit,Not Specified,160,0.83,4715,[66],160,0.26,1.057,0.83,4715,169.12,"(-0.00354, 5.905]"
WASP-70Ab,0.59,1.164,3.71,0.04853,transit,Not Specified,800,1.11,5763,[66],800,0.59,1.164,1.11,5763,931.2,"(-0.00354, 5.905]"
WASP-73b,1.88,1.16,4.09,0.05512,transit,Not Specified,1042,1.34,6036,[65],1042,1.88,1.16,1.34,6036,1208.72,"(-0.00354, 5.905]"
WASP-75b,1.07,1.27,2.48,0.0375,transit,Not Specified,850,1.14,6100,[64][67],850,1.07,1.27,1.14,6100,1079.5,"(-0.00354, 5.905]"
WASP-76b,0.92,1.83,1.81,0.033,transit,Not Specified,390,1.46,6250,[68],390,0.92,1.83,1.46,6250,713.7,"(-0.00354, 5.905]"
WASP-80b,0.538,0.999,3.07,0.0344,transit,Not Specified,200,0.58,4143,[69]Proper name Wadirum,200,0.538,0.999,0.58,4143,199.8,"(-0.00354, 5.905]"
WASP-82b [fr],1.24,1.67,2.71,0.0447,transit,Not Specified,650,1.63,6490,[68],650,1.24,1.67,1.63,6490,1085.5,"(-0.00354, 5.905]"
WASP-84b,0.694,0.942,8.52,0.0771,transit,Not Specified,410,0.84,5314,[66],410,0.694,0.942,0.84,5314,386.22,"(-0.00354, 5.905]"
WASP-88b,0.56,1.7,4.95,0.06431,transit,Not Specified,1730,1.45,6431,[65],1730,0.56,1.7,1.45,6431,2941,"(-0.00354, 5.905]"
WASP-90b,0.63,1.63,3.92,0.0562,transit,Not Specified,1100,1.55,6440,[68],1100,0.63,1.63,1.55,6440,1793,"(-0.00354, 5.905]"
WASP-95b,1.13,1.21,2.18,0.03416,transit,Not Specified,450,1.11,5630,[70],450,1.13,1.21,1.11,5630,544.5,"(-0.00354, 5.905]"
WASP-96b,0.48,1.2,3.43,0.0453,transit,Not Specified,1161,1.06,5540,[70],1161,0.48,1.2,1.06,5540,1393.2,"(-0.00354, 5.905]"
WASP-97b,1.32,1.13,2.07,0.03303,transit,Not Specified,494.9,1.12,5640,[70],494.9,1.32,1.13,1.12,5640,559.237,"(-0.00354, 5.905]"
WASP-98b,0.922,1.144,2.96,0.03762,transit,Not Specified,926,0.81,5473,[70],926,0.922,1.144,0.81,5473,1059.344,"(-0.00354, 5.905]"
WASP-99b,2.78,1.1,5.75,0.0717,transit,Not Specified,519,1.48,6180,[70],519,2.78,1.1,1.48,6180,570.9,"(-0.00354, 5.905]"
WASP-100b,2.03,1.69,2.85,0.0457,transit,Not Specified,1201,1.57,6900,[70],1201,2.03,1.69,1.57,6900,2029.69,"(-0.00354, 5.905]"
WASP-101b,0.5,1.41,3.59,0.0506,transit,Not Specified,660,1.34,6400,[70],660,0.5,1.41,1.34,6400,930.6,"(-0.00354, 5.905]"
WTS-2b,1.12,1.363,1.02,0.01855,transit,Not Specified,3300,0.82,5000,[71][72],3300,1.12,1.363,0.82,5000,4497.9,"(-0.00354, 5.905]"
BD-11 4672 b,0.53,0.213,1667,2.28,radial vel.,Not Specified,89,0.57,4475,[2],89,0.53,0.213,0.57,4475,18.957,"(-0.00354, 5.905]"
Beta Cancri b,7.8,0.213,605.2,1.7,radial vel.,Not Specified,290.4,1.7,4092.1,[3],290.4,7.8,0.213,1.7,4092.1,61.8552,"(-0.00354, 5.905]"
Beta Ursae Minoris b,6.1,0.213,522.3,1.4,radial vel.,Not Specified,126.5,1.4,4126,[3],126.5,6.1,0.213,1.4,4126,26.9445,"(-0.00354, 5.905]"
COROT-22b,0.038,0.435,9.76,0.092,transit,Not Specified,1930,1.1,5939,[4],1930,0.038,0.435,1.1,5939,839.55,"(-0.00354, 5.905]"
COROT-24b,0.018,0.33,5.11,0.056,transit,Not Specified,2000,0.91,4950,[5],2000,0.018,0.33,0.91,4950,660,"(-0.00354, 5.905]"
COROT-24c,0.088,0.44,11.76,0.098,transit,Not Specified,2000,0.91,4950,[5],2000,0.088,0.44,0.91,4950,880,"(-0.00354, 5.905]"
COROT-27b,10.39,1.007,3.58,0.0476,transit,Not Specified,3400,1.05,5900,[6] Planet lost[7],3400,10.39,1.007,1.05,5900,3423.8,"(-0.00354, 5.905]"
Gliese 15 Ab,0.017,0.213,11.44,0.0717,radial vel.,Not Specified,11.6,0.38,3567,[8],11.6,0.017,0.213,0.38,3567,2.4708,"(-0.00354, 5.905]"
Gliese 27.1 b,0.0409,0.213,15.82,0.101,radial vel.,Not Specified,77,0.53,3542,"Alternately known as Gliese 9018,[9] not related to Gliese 27.",77,0.0409,0.213,0.53,3542,16.401,"(-0.00354, 5.905]"
Gliese 160.2 b,0.0321,0.213,5.24,0.053,radial vel.,Not Specified,84.4,0.69,4347,"Alternately known as Gliese 9144, not related to Gliese 160. Disproven exoplanet[9][10]",84.4,0.0321,0.213,0.69,4347,17.9772,"(-0.00354, 5.905]"
Gliese 180 b,0.0261,0.213,17.38,0.103,radial vel.,Not Specified,39,0.43,3371,[9],39,0.0261,0.213,0.43,3371,8.307,"(-0.00354, 5.905]"
Gliese 180 c,0.0201,0.213,24.33,0.129,radial vel.,Not Specified,39,0.43,3371,[9],39,0.0201,0.213,0.43,3371,8.307,"(-0.00354, 5.905]"
Gliese 229 Ab,0.1,0.213,471,0.97,radial vel.,Not Specified,18.8,0.58,3564,[9],18.8,0.1,0.213,0.58,3564,4.0044,"(-0.00354, 5.905]"
Gliese 433 c,0.14,0.213,4900,4.7,radial vel.,Not Specified,29.6,0.48,3472,[9],29.6,0.14,0.213,0.48,3472,6.3048,"(-0.00354, 5.905]"
Gliese 422 b,0.0311,0.213,26.16,0.119,radial vel.,Not Specified,41.3,0.35,3323,[9],41.3,0.0311,0.213,0.35,3323,8.7969,"(-0.00354, 5.905]"
Gliese 682 b,0.014,0.213,17.48,0.08,radial vel.,Not Specified,16.3,0.27,3028,Disproven exoplanet[9][10],16.3,0.014,0.213,0.27,3028,3.4719,"(-0.00354, 5.905]"
Gliese 682 c,0.0274,0.213,57.32,0.176,radial vel.,Not Specified,16.3,0.27,3028,Disproven exoplanet[9][10],16.3,0.0274,0.213,0.27,3028,3.4719,"(-0.00354, 5.905]"
Gliese 687 b,0.058,0.213,38.14,0.16353,radial vel.,Not Specified,14.8,0.41,3413,[11],14.8,0.058,0.213,0.41,3413,3.1524,"(-0.00354, 5.905]"
Gliese 832 c,0.017,0.213,35.68,0.163,radial vel.,Not Specified,16.1,0.45,3472,"Habitable zone planet,[12] likely do not exist.[13]",16.1,0.017,0.213,0.45,3472,3.4293,"(-0.00354, 5.905]"
Gliese 3293 b,0.07406,0.213,30.6,0.14339,radial vel.,Not Specified,51.4,0.42,3466,[14],51.4,0.07406,0.213,0.42,3466,10.9482,"(-0.00354, 5.905]"
Gliese 3293 c,0.06636,0.213,122.62,0.36175,radial vel.,Not Specified,51.4,0.42,3466,[14],51.4,0.06636,0.213,0.42,3466,10.9482,"(-0.00354, 5.905]"
Gliese 3341 b,0.0208,0.213,14.21,0.089,radial vel.,Not Specified,77.1,0.47,3526,[14],77.1,0.0208,0.213,0.47,3526,16.4223,"(-0.00354, 5.905]"
HAT-P-49b,1.73,1.413,2.69,0.0438,transit,Not Specified,1050,1.54,6820,[16],1050,1.73,1.413,1.54,6820,1483.65,"(-0.00354, 5.905]"
HAT-P-54b,0.76,0.944,3.8,0.04117,transit,Not Specified,443,0.65,4390,"[17] Disputed in 2016,[18] reconfirmed in 2021.[19]",443,0.76,0.944,0.65,4390,418.192,"(-0.00354, 5.905]"
HATS-4b,1.323,1.02,2.52,0.0362,transit,Not Specified,1400,1,5403,[20],1400,1.323,1.02,1,5403,1428,"(-0.00354, 5.905]"
HATS-5b,0.237,0.912,4.76,0.0542,transit,Not Specified,840,0.94,5304,[21],840,0.237,0.912,0.94,5304,766.08,"(-0.00354, 5.905]"
HATS-6b,0.319,0.998,3.33,0.03623,transit,Not Specified,484,0.57,3724,[22],484,0.319,0.998,0.57,3724,483.032,"(-0.00354, 5.905]"
HD 564 b,0.33,0.213,492.3,1.2,radial vel.,Not Specified,175,0.96,5902,[2],175,0.33,0.213,0.96,5902,37.275,"(-0.00354, 5.905]"
HD 4203 c,2.17,0.213,6700,6.95,radial vel.,Not Specified,253.8,1.13,5702,[23],253.8,2.17,0.213,1.13,5702,54.0594,"(-0.00354, 5.905]"
HD 5319 c,1.15,0.213,886,2.071,radial vel.,Not Specified,370,1.51,4958,[24],370,1.15,0.213,1.51,4958,78.81,"(-0.00354, 5.905]"
HD 10442 b,2.1,0.213,1043,2.335,radial vel.,Not Specified,443,1.56,5034,[24],443,2.1,0.213,1.56,5034,94.359,"(-0.00354, 5.905]"
HD 11506 c,0.408,0.213,223.41,0.774,radial vel.,Not Specified,167.4,1.12,5833,[24],167.4,0.408,0.213,1.12,5833,35.6562,"(-0.00354, 5.905]"
HD 14067 b,7.8,0.213,1455,3.4,radial vel.,Not Specified,533,2.4,4815,[25],533,7.8,0.213,2.4,4815,113.529,"(-0.00354, 5.905]"
HD 30669 b,0.47,0.213,1684,2.69,radial vel.,Not Specified,186,0.92,5400,[2],186,0.47,0.213,0.92,5400,39.618,"(-0.00354, 5.905]"
HD 75784 b,1.15,0.213,341.7,1.073,radial vel.,Not Specified,224,1.41,4917,[24],224,1.15,0.213,1.41,4917,47.712,"(-0.00354, 5.905]"
HD 103720 b,0.62,0.213,4.56,0.0498,radial vel.,Not Specified,136,0.79,5017,[2],136,0.62,0.213,0.79,5017,28.968,"(-0.00354, 5.905]"
HD 108341 b,3.5,0.213,1129,2,radial vel.,Not Specified,161,0.84,5122,[2],161,3.5,0.213,0.84,5122,34.293,"(-0.00354, 5.905]"
HD 114613 b,0.48,0.213,3827,5.16,radial vel.,Not Specified,66.8,1.36,5729,[27],66.8,0.48,0.213,1.36,5729,14.2284,"(-0.00354, 5.905]"
HD 141399 b,0.451,0.213,94.44,0.415,radial vel.,Not Specified,118,1.07,5600,[28],118,0.451,0.213,1.07,5600,25.134,"(-0.00354, 5.905]"
HD 141399 c,1.33,0.213,201.99,0.689,radial vel.,Not Specified,118,1.07,5600,[28],118,1.33,0.213,1.07,5600,25.134,"(-0.00354, 5.905]"
HD 141399 d,1.18,0.213,1069.8,2.09,radial vel.,Not Specified,118,1.07,5600,[28],118,1.18,0.213,1.07,5600,25.134,"(-0.00354, 5.905]"
HD 141399 e,0.66,0.213,5000,5,radial vel.,Not Specified,118,1.07,5600,[28],118,0.66,0.213,1.07,5600,25.134,"(-0.00354, 5.905]"
HD 154857 c,2.58,0.213,3452,5.36,radial vel.,Not Specified,223.5,1.72,5605,[27],223.5,2.58,0.213,1.72,5605,47.6055,"(-0.00354, 5.905]"
HIP 67851 b,1.38,0.213,88.9,0.46,radial vel.,Not Specified,208.3,1.63,4890,[29],208.3,1.38,0.213,1.63,4890,44.3679,"(-0.00354, 5.905]"
HIP 67851 c,4.34,0.213,1741,3.09,radial vel.,Not Specified,208.3,1.63,4890,[30],208.3,4.34,0.213,1.63,4890,44.3679,"(-0.00354, 5.905]"
HIP 97233 b,20,0.213,1058.8,2.55,radial vel.,Not Specified,347,1.93,5020,[29],347,20,0.213,1.93,5020,73.911,"(-0.00354, 5.905]"
HIP 105854 b,8.2,0.213,184.2,0.81,radial vel.,Not Specified,276,2.1,4780,[31],276,8.2,0.213,2.1,4780,58.788,"(-0.00354, 5.905]"
HIP 116454 b,0.037,0.226,9.12,0.0906,radial vel.,Not Specified,180,0.78,5089,[32],180,0.037,0.226,0.78,5089,40.68,"(-0.00354, 5.905]"
Kapteyn b,0.015,0.213,48.62,0.168,radial vel.,Not Specified,12.8,0.28,3550,Existence of planet been disputed.[33][34],12.8,0.015,0.213,0.28,3550,2.7264,"(-0.00354, 5.905]"
Kapteyn c,0.022,0.213,121.54,0.311,radial vel.,Not Specified,12.8,0.28,3550,Existence of planet been disputed.[33][34],12.8,0.022,0.213,0.28,3550,2.7264,"(-0.00354, 5.905]"
KIC 10001893 b,0.639,0.213,0.22,0.098,orbital brightness modulation,Not Specified,5700,0.96,27500,Disproven exoplanet[35][36],5700,0.639,0.213,0.96,27500,1214.1,"(-0.00354, 5.905]"
KIC 10001893 c,0.639,0.213,0.33,0.098,orbital brightness modulation,Not Specified,5700,0.96,27500,Disproven exoplanet[35][36],5700,0.639,0.213,0.96,27500,1214.1,"(-0.00354, 5.905]"
KIC 10001893 d,0.639,0.213,0.81,0.098,orbital brightness modulation,Not Specified,5700,0.96,27500,Disproven exoplanet[35][36],5700,0.639,0.213,0.96,27500,1214.1,"(-0.00354, 5.905]"
Kepler-23d,0.639,0.196,15.27,0.124,transit,Not Specified,2600,1.11,5828,[37],2600,0.639,0.196,1.11,5828,509.6,"(-0.00354, 5.905]"
Kepler-24d,0.639,0.149,4.24,0.051,transit,Not Specified,3900,1.03,5897,[37],3900,0.639,0.149,1.03,5897,581.1,"(-0.00354, 5.905]"
Kepler-24e,0.639,0.248,19,0.138,transit,Not Specified,3900,1.03,5897,[37],3900,0.639,0.248,1.03,5897,967.2,"(-0.00354, 5.905]"
Kepler-25d,0.283,0.213,123,0.098,radial vel.,Not Specified,798,1.19,6270,[38][37],798,0.283,0.213,1.19,6270,169.974,"(-0.00354, 5.905]"
Kepler-26d,0.639,0.095,3.54,0.039,transit,Not Specified,1104,0.54,3914,[37],1104,0.639,0.095,0.54,3914,104.88,"(-0.00354, 5.905]"
Kepler-26e,0.639,0.215,46.83,0.22,transit,Not Specified,1104,0.54,3914,[37],1104,0.639,0.215,0.54,3914,237.36,"(-0.00354, 5.905]"
Kepler-31d,6.8,0.348,87.65,0.4,transit,Not Specified,6800,1.21,6340,[37],6800,6.8,0.348,1.21,6340,2366.4,"(-0.00354, 5.905]"
Kepler-37e,0.639,0.213,51.2,0.098,timing,Not Specified,220,0.8,5417,[37],220,0.639,0.213,0.8,5417,46.86,"(-0.00354, 5.905]"
Kepler-48d,0.025,0.182,42.9,0.098,transit,Not Specified,1009,0.88,5194,[38][37],1009,0.025,0.182,0.88,5194,183.638,"(-0.00354, 5.905]"
Kepler-48e,2.067,0.213,982,0.098,radial vel.,Not Specified,1009,0.88,5194,[38],1009,2.067,0.213,0.88,5194,214.917,"(-0.00354, 5.905]"
Kepler-49d,0.639,0.143,2.58,0.031,transit,Not Specified,1024,0.55,4252,[37],1024,0.639,0.143,0.55,4252,146.432,"(-0.00354, 5.905]"
Kepler-49e,0.639,0.139,18.6,0.116,transit,Not Specified,1024,0.55,4252,[37],1024,0.639,0.139,0.55,4252,142.336,"(-0.00354, 5.905]"
Kepler-51d,0.024,0.865,130.19,0.509,transit,Not Specified,2610,1.04,6018,[37],2610,0.024,0.865,1.04,6018,2257.65,"(-0.00354, 5.905]"
Kepler-52d,0.639,0.174,36.45,0.182,transit,Not Specified,1058,0.54,4263,[37],1058,0.639,0.174,0.54,4263,184.092,"(-0.00354, 5.905]"
Kepler-53d,0.639,0.189,9.75,0.091,transit,Not Specified,4600,0.98,5858,[37],4600,0.639,0.189,0.98,5858,869.4,"(-0.00354, 5.905]"
